2020-12-10 - 18:53:32 - Call to a member function prepare() on null
2020-12-10 - 18:18:49 - Call to a member function prepare() on null /Users/macbook/PhpstormProjects/MultiplexTrack/app/code/Models/TimeSlot.php:108
2020-12-10 - 18:19:49 - Call to a member function prepare() on null /Users/macbook/PhpstormProjects/MultiplexTrack/app/code/Models/TimeSlot.php:108
2020-12-10 - 18:20:49 - Call to a member function prepare() on null /Users/macbook/PhpstormProjects/MultiplexTrack/app/code/Models/TimeSlot.php:108
2020-12-10 - 19:10:45 - Call to a member function prepare() on null /Users/macbook/PhpstormProjects/MultiplexTrack/app/code/Models/TimeSlot.php:110
2020-12-10 - 19:02:52 - Call to a member function prepare() on null /Users/macbook/PhpstormProjects/MultiplexTrack/app/code/Models/TimeSlot.php:110
2020-12-10 - 20:06:01 - Call to a member function prepare() on null /Users/macbook/PhpstormProjects/MultiplexTrack/app/code/Models/TimeSlot.php:110
2020-12-10 - 20:14:15 - Call to a member function prepare() on null /Users/macbook/PhpstormProjects/MultiplexTrack/app/code/Models/TimeSlot.php:110
2020-12-10 - 20:30:19 - Call to a member function prepare() on null /Users/macbook/PhpstormProjects/MultiplexTrack/app/code/Models/TimeSlot.php:84
2020-12-10 - 20:16:36 - Call to a member function prepare() on null /Users/macbook/PhpstormProjects/MultiplexTrack/app/code/Models/TimeSlot.php:110
2020-12-10 - 20:18:40 - Call to a member function prepare() on null /Users/macbook/PhpstormProjects/MultiplexTrack/app/code/Models/TimeSlot.php:176
2020-12-10 - 20:21:40 - Call to a member function prepare() on null /Users/macbook/PhpstormProjects/MultiplexTrack/app/code/Models/TimeSlot.php:176
2020-12-12 - 14:28:52 - Call to a member function prepare() on null /Users/macbook/PhpstormProjects/MultiplexTrack/app/code/Models/TimeSlot.php:199
2020-12-12 - 14:31:56 - Call to a member function prepare() on null /Users/macbook/PhpstormProjects/MultiplexTrack/app/code/Models/TimeSlot.php:199
2020-12-12 - 14:21:58 - Call to a member function prepare() on null /Users/macbook/PhpstormProjects/MultiplexTrack/app/code/Models/TimeSlot.php:199
2020-12-12 - 14:41:59 - Call to a member function prepare() on null /Users/macbook/PhpstormProjects/MultiplexTrack/app/code/Models/TimeSlot.php:199
